Tomáš Kučera =  17/25
Martin Novotná =  27/33
František Kučerová =  38%
Eva Pokorná =  18% + 3% + 24%
Jiří Svobodová =  17% + 27%
Lenka Novotný =  0% + 24% + 7%
Jakub Černá =  37/82 + 9/66
Jiří Pokorná =  28/80 + 2/20
Marie Krejčí =  3% + 16%
Alena Marek =  9/64 + 2/4
Věra Svobodová =  11/26
Miroslav Pospíšilová =  56%
Anna Horák =  29% + 28% + 28%
Pavel Marková =  12%
Michal Horáková =  6% + 13%
Petr Kučerová =  17/19
Lucie Novotná =  52%
Kateřina Pokorná =  20% + 18% + 12%
Milan Marek =  29/33
