Václav Marková :  18/46
Milan Krejčí :  52%
František Černý :  26% + 28% + 4%
Jan Procházková :  1% + 12% + 3%
Zdeněk Novák :  1%
Zdeněk Dvořáková :  8% + 3%
Jan Pospíšilová :  32/40
František Pokorná :  27% + 29% + 25%
Lucie Nováková :  12/39
Jaroslav Pospíšilová :  4%
Marie Horáková :  20/56 + 5/66
Alena Kučerová :  32% + 3% + 9%
Alena Dvořák :  2/4
Josef Kučerová :  52%
Lenka Veselá :  92%
Lucie Veselá :  24%
Alena Černá :  5% + 26% + 17%
Zdeněk Kučera :  9% + 23% + 30%
Lucie Horáková :  10% + 18%
