Pavel Dvořáková =  9/15
Miroslav Černý =  10/84 + 7/96
Petr Dvořák =  30% + 67%
Tomáš Dvořáková =  25%
Michal Nováková =  15% + 31% + 12%
Zdeněk Horáková =  54%
Marie Horák =  11/24 + 39/86
Miroslav Černý =  9% + 2% + 1%
Alena Pokorná =  2/17
Jaroslav Svobodová =  18%
Alena Horáková =  20/21
Michal Černý =  17% + 66%
Alena Veselý =  83%
Lucie Němcová =  19% + 8%
Jana Němec =  4% + 16% + 15%
Lenka Veselá =  3/12 + 25/68
Petr Černý =  2/8 + 3/84
Josef Novák =  29/37
Milan Pospíšilová =  33% + 16%
