Lenka Dvořáková :  7% + 3%
Josef Dvořáková :  12% + 62%
Pavel Němcová :  2/10 + 4/70
Lucie Procházková :  12% + 12%
Kateřina Procházková :  6/11
Lenka Němcová :  36/39
Jakub Marková :  24% + 22% + 9%
Jaroslav Nováková :  14% + 6%
Milan Procházková :  8/92 + 1/2
Lucie Kučera :  28/35
Eva Nováková :  57%
Tomáš Novák :  5% + 23% + 6%
Lucie Horáková :  14% + 26% + 12%
Anna Němcová :  5/15
Marie Svobodová :  4% + 17% + 16%
Jaroslav Novák :  97%
Lucie Němcová :  24% + 12% + 10%
Miroslav Veselá :  1% + 21% + 4%
