Marie Pospíšilová :  1/2 + 9/34
Kateřina Černý :  40/43
Václav Novotná :  9/40 + 18/92
Jan Horáková :  0% + 52%
Zdeněk Dvořáková :  96%
Václav Svobodová :  31% + 12% + 30%
Zdeněk Dvořák :  32% + 20% + 8%
Věra Veselá :  30% + 30% + 30%
Eva Veselá :  27% + 10%
Zdeněk Novák :  27% + 69%
Tomáš Dvořáková :  19% + 3% + 5%
František Novák :  20% + 18% + 5%
Kateřina Novotná :  0% + 22%
Pavel Kučera :  7/76 + 22/88
Anna Procházka :  2/11
Eva Pospíšilová :  1/3
Josef Veselý :  60%
Jana Marková :  23%
Petr Němec :  12/23
