Hana Dvořáková :  22% + 15% + 30%
Jakub Novák :  4% + 20%
Eva Němec :  8/58 + 7/26
Jiří Krejčí :  13/33
František Svoboda :  6/12 + 1/2
Martin Pospíšilová :  3/3
Tomáš Svobodová :  22/60 + 25/74
Pavel Černý :  0% + 34%
Michal Novotná :  48%
Jakub Němcová :  36/92 + 36/74
Hana Krejčí :  26/28
Hana Svobodová :  5/10 + 31/78
Petr Černý :  28%
Michal Kučera :  26% + 15%
Václav Pokorná :  1% + 72%
František Dvořáková :  6/17
Josef Dvořáková :  7/28
Lenka Černá :  18% + 19% + 24%
Josef Veselý :  9/88 + 15/38
