Zdeněk Marková :  32%
Martin Kučerová :  3% + 69%
Věra Dvořáková :  14/27
Lucie Kučerová :  29% + 11% + 29%
Jan Procházková :  2/4 + 6/62
Věra Němec :  23% + 14% + 16%
Jiří Marek :  10%
Tomáš Svoboda :  22%
Jaroslav Novotný :  10/18
Lenka Novotná :  22/62 + 1/10
Lucie Horák :  15% + 22% + 21%
Miroslav Nováková :  3/6
Zdeněk Novotná :  28% + 18% + 10%
Petr Novotný :  3/6 + 3/8
Milan Veselý :  99%
Jiří Krejčí :  22% + 20% + 8%
Martin Kučerová :  2% + 1%
Kateřina Veselý :  11/33
Anna Marková :  47%
