Jaroslav Veselá :  8/28
Hana Horák :  29% + 4% + 26%
Zdeněk Kučera :  3/37
Věra Procházka :  17/37
Václav Horáková :  73%
Michal Procházka :  49% + 40%
Petr Nováková :  25% + 24% + 30%
Martin Dvořáková :  62%
Pavel Veselá :  8/11
Hana Novák :  22% + 12% + 17%
Anna Nováková :  30% + 27% + 0%
Alena Procházková :  1/1
Václav Svobodová :  24% + 32% + 10%
Jaroslav Dvořák :  19/98 + 10/22
Věra Kučera :  15/33
Lucie Pospíšilová :  14% + 19%
Jana Nováková :  20%
Michal Novotná :  18/88 + 7/20
Zdeněk Marek :  10% + 4% + 8%
