Lucie Svoboda =  24% + 9%
Lenka Němec =  31/49
Miroslav Svoboda =  18/72 + 3/18
Zdeněk Veselá =  32% + 11%
Jakub Horák =  19% + 30% + 4%
Petr Veselý =  59%
Marie Marková =  4/24
Jaroslav Krejčí =  57% + 12%
Milan Němec =  13/62 + 8/58
Jiří Horáková =  56%
František Novotná =  11%
Miroslav Pospíšilová =  5/18 + 2/38
Jaroslav Nováková =  16/26
Michal Veselá =  27% + 33%
Jiří Procházková =  7/39
Marie Němec =  7% + 1% + 25%
Václav Dvořák =  1%
Miroslav Kučera =  7%
Milan Pospíšilová =  42/86 + 36/94
