Jiří Kučera =  7/28 + 13/40
Hana Kučerová =  1/3
Zdeněk Pospíšilová =  27/37
Miroslav Dvořák =  3/9
Eva Svobodová =  16/42 + 28/62
Petr Černý =  2% + 3% + 23%
Lenka Procházka =  67%
Jiří Pospíšilová =  89%
Michal Horák =  24/48 + 25/60
Kateřina Marek =  1/2 + 3/84
Jakub Krejčí =  3/3
Věra Pospíšilová =  23% + 8% + 11%
Pavel Němcová =  60%
Michal Marek =  32% + 11% + 12%
Marie Novotný =  33% + 34%
Michal Němcová =  25/70 + 21/94
Lucie Kučera =  36/39
Jakub Pospíšilová =  21/31
Eva Němcová =  77%
