Anna Dvořáková =  7/84 + 34/72
Tomáš Kučera =  10/13
Jana Horák =  16% + 63%
Marie Němec =  9/20
Tomáš Svoboda =  19% + 23% + 24%
Martin Nováková =  24/28
Milan Krejčí =  44%
Milan Dvořáková =  19/20
Alena Marek =  3/42
Anna Nováková =  20% + 4%
Jaroslav Veselý =  25% + 7% + 2%
Jakub Veselá =  19/38 + 5/96
Kateřina Pospíšilová =  14/52 + 4/18
Michal Dvořáková =  16% + 13%
Alena Novák =  0% + 15% + 31%
Zdeněk Novotný =  32% + 10% + 18%
Jan Pospíšilová =  98%
Martin Černá =  29% + 23% + 25%
Michal Kučerová =  61% + 2%
