Milan Marková :  2% + 72%
Milan Veselý :  20/27
Michal Horák :  1/27
Miroslav Veselý :  64% + 4%
František Novotná :  4/10 + 20/68
Martin Procházka :  30% + 26% + 5%
Jiří Procházková :  9/88 + 5/44
Petr Svobodová :  95%
Michal Veselý :  43/50
Lucie Procházka :  33/49
Václav Horáková :  23% + 23% + 19%
František Svoboda :  48/100 + 14/42
Eva Němcová :  44%
Marie Novák :  8/50 + 4/26
Josef Novotný :  99%
Petr Dvořák :  30%
Martin Dvořáková :  7% + 7% + 6%
Kateřina Nováková :  53% + 37%
Eva Dvořák :  44/45
