Miroslav Pospíšilová :  97%
Anna Horáková :  21/29
Lucie Novotná :  5/44 + 15/32
Jana Veselý :  13% + 2% + 20%
Petr Němcová :  86%
Jana Procházka :  16% + 30% + 4%
Pavel Marek :  32% + 32% + 14%
Václav Marek :  33/72 + 2/12
Lenka Pospíšilová :  25/84 + 23/94
Jana Němcová :  48% + 14%
Petr Veselá :  13% + 25% + 0%
Jan Novotný :  41%
Tomáš Marková :  98%
Michal Novotný :  16/94 + 10/44
Alena Kučera :  23/90 + 9/18
Milan Procházková :  75%
Lenka Pokorná :  16/50
Lenka Novák :  16%
Jiří Svoboda :  12%
