Anna Svobodová :  63%
Josef Dvořáková :  30/41
Alena Novotný :  15% + 20%
Lucie Krejčí :  16% + 27% + 32%
Milan Svoboda :  23/25
Anna Procházková :  2/16
Jana Kučerová :  68%
Petr Dvořáková :  33%
Jan Veselá :  18% + 5% + 22%
František Kučera :  3/6
Hana Marek :  9/23
Eva Dvořáková :  30% + 10% + 11%
Jana Pospíšilová :  33%
Petr Černý :  1% + 12% + 33%
Milan Horáková :  2% + 32% + 6%
Marie Pospíšilová :  11/46
Jana Kučera :  24% + 23% + 13%
Jaroslav Svobodová :  16% + 10%
Martin Dvořáková :  58%
