Josef Němec :  2% + 14% + 29%
Zdeněk Svoboda :  10/11
Lucie Pokorná :  3% + 7% + 2%
Miroslav Svobodová :  4/48 + 4/68
Lucie Černá :  2/17
Marie Veselá :  0% + 1%
Zdeněk Pokorná :  63%
Pavel Svobodová :  13% + 10%
Petr Němec :  6/74 + 38/76
Michal Němec :  11% + 30% + 4%
Tomáš Nováková :  50%
Alena Veselý :  3/30 + 1/2
Věra Marková :  3/6 + 20/82
Jan Novotná :  23% + 1% + 28%
Josef Pospíšilová :  16% + 51%
Jiří Veselý :  28% + 6% + 22%
Lucie Horáková :  20% + 31% + 27%
Jakub Procházka :  69% + 13%
Alena Novotná :  64%
