Jakub Kučerová =  18/31
Josef Pokorná =  90% + 6%
Alena Procházka =  46%
Josef Dvořáková =  23/82 + 2/90
Hana Marková =  34/37
František Krejčí =  18/32
Pavel Svobodová =  10/34 + 30/94
Kateřina Pospíšilová =  68%
František Novotná =  27% + 7% + 2%
Anna Černá =  8/30 + 15/60
Miroslav Marková =  17% + 18% + 9%
Milan Dvořák =  18/44 + 8/44
František Novotný =  21/25
Václav Procházková =  9% + 18% + 14%
Anna Dvořák =  15/40 + 14/30
Alena Procházka =  10% + 21% + 28%
Miroslav Procházka =  7/10
Lenka Pokorná =  40/42
