Michal Novotný :  94%
Martin Horáková :  30% + 27%
Tomáš Marek :  39% + 17%
Eva Nováková :  0% + 5%
Tomáš Němcová :  0% + 3% + 0%
Věra Němcová :  13/56 + 3/74
Anna Novotná :  12/100 + 16/78
Alena Nováková :  23% + 26% + 8%
Zdeněk Kučerová :  24/88 + 31/68
Marie Kučera :  23/28
Hana Horáková :  6% + 28% + 20%
František Procházková :  2/20
Tomáš Veselá :  3/9
Eva Procházková :  1%
Tomáš Krejčí :  1/10 + 10/90
Lenka Marek :  8/38 + 3/90
Eva Marek :  18/44 + 11/26
Lucie Kučera :  3/9
Václav Pokorná :  31/68 + 8/96
