František Horák :  16% + 15%
Kateřina Veselý :  27%
Eva Procházka :  64%
Lucie Dvořák :  4/42 + 1/14
František Horáková :  4/12 + 24/70
Jiří Novotný :  85% + 4%
Jaroslav Marková :  2/30
Lenka Novotný :  10/13
Jan Svobodová :  12% + 18%
Jana Veselý :  9/46
Lucie Svobodová :  5% + 1%
Věra Veselá :  14/90 + 31/70
Václav Marková :  27/35
Lucie Marková :  21% + 10% + 19%
Miroslav Černý :  53% + 35%
František Horák :  14% + 15% + 2%
Martin Novotný :  22/50
Anna Veselá :  68%
Lenka Procházka :  24% + 2% + 29%
