Alena Procházková :  37% + 57%
Tomáš Kučera :  34% + 55%
Jana Černý :  11% + 30%
Anna Procházková :  7/84 + 10/22
Jiří Novotná :  11% + 20% + 1%
František Pospíšilová :  20/28
Pavel Marková :  11% + 18% + 10%
Petr Veselý :  78%
Jana Horáková :  21% + 41%
Anna Němec :  13/26 + 15/94
Zdeněk Němcová :  50%
Josef Dvořák :  37%
Lenka Marek :  26% + 3% + 1%
Marie Nováková :  5% + 23% + 32%
Václav Krejčí :  10/28 + 7/22
Miroslav Novotný :  24/38
Jan Svobodová :  8/20
František Nováková :  42% + 10%
Eva Němcová :  1/6 + 2/8
