Miroslav Pospíšilová :  22/44 + 3/10
Michal Pospíšilová :  1/10
Josef Dvořák :  3% + 7%
Jiří Dvořák :  64% + 32%
Zdeněk Novotný :  25% + 34%
Jiří Nováková :  6% + 1%
Martin Novotný :  12% + 8% + 19%
Kateřina Procházková :  17/38
Alena Novotná :  38%
Alena Němec :  15/32 + 19/74
Pavel Svobodová :  27% + 15% + 32%
Lenka Němec :  12/29
Michal Veselá :  25%
Michal Dvořák :  63%
Marie Němcová :  60%
Václav Němec :  11/13
Tomáš Kučera :  31% + 17%
Miroslav Marek :  4% + 21% + 22%
Marie Veselá :  28% + 25% + 23%
