Kateřina Svoboda =  57%
František Horák =  1%
Věra Horáková =  49%
Václav Veselý =  20% + 31%
Milan Černý =  45% + 41%
Jaroslav Procházková =  11% + 15% + 0%
Pavel Svobodová =  22/37
Věra Horáková =  57%
Lenka Svobodová =  2% + 21%
Václav Horáková =  63%
Jakub Černý =  21% + 47%
František Pospíšilová =  7% + 19% + 17%
Marie Marková =  77%
Tomáš Procházková =  33% + 32% + 24%
Tomáš Veselá =  6% + 12%
Lenka Pokorná =  20% + 21%
Josef Dvořák =  93%
Zdeněk Novák =  13% + 20% + 10%
Pavel Veselá =  28% + 32% + 31%
