Lucie Procházková :  7% + 11% + 25%
Jan Dvořáková :  12/31
Michal Dvořák :  31/72 + 16/64
Pavel Kučera :  19%
Zdeněk Kučerová :  2%
Jana Nováková :  8% + 28% + 14%
Jiří Kučera :  3/10
František Dvořáková :  6/18 + 11/64
Marie Horáková :  50/50
Jiří Svoboda :  17% + 12% + 19%
Jakub Němec :  27/31
Eva Veselá :  16% + 22% + 12%
Miroslav Horák :  12% + 40%
Petr Černý :  66% + 24%
Jakub Svoboda :  42/90 + 22/56
Zdeněk Nováková :  2% + 25% + 15%
Lenka Krejčí :  12% + 28% + 10%
Jakub Černá :  1/26 + 18/74
Anna Svobodová :  17% + 27% + 29%
