Lenka Němcová :  28% + 10% + 28%
Václav Procházka :  13/48 + 38/88
Pavel Horák :  12% + 58%
Miroslav Svoboda :  9% + 32% + 20%
Jana Svobodová :  73%
Alena Dvořák :  16%
Jan Němcová :  2% + 0% + 22%
Michal Novák :  3% + 22% + 18%
Jaroslav Pokorná :  3% + 12% + 23%
Pavel Veselá :  1/3
Jiří Černá :  9% + 12% + 16%
Lenka Novotný :  2/25
Milan Novotná :  66% + 24%
Jiří Horáková :  23%
Anna Horák :  9/30 + 7/84
Kateřina Novotná :  12/31
Hana Horáková :  17/19
Kateřina Horáková :  20/72 + 13/44
Miroslav Pospíšilová :  1% + 16%
